Model,Test Samples,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Macro F1
CNN MobileNetV2,433,0.9885,0.9886,0.9885,0.9885,0.9917
Random Forest,431,0.955916,0.9575,0.9559,0.955332,0.932065
